GO_id,k_in_fg,K_in_bg,n_fg,N_bg,fold_enrichment,p_value,q_bh
GO:0030983,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0016868,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0033179,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0006075,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0003843,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0000148,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0045492,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0004871,2,30,1193,15788,0.8822576138586197,0.6733813358209492,0.8198910825267623
GO:0005874,2,30,1193,15788,0.8822576138586197,0.6733813358209492,0.8198910825267623
GO:0006298,1,15,1193,15788,0.8822576138586197,0.6924480531013134,0.8343783993891603
GO:0008173,1,15,1193,15788,0.8822576138586197,0.6924480531013134,0.8343783993891603
GO:0016791,1,15,1193,15788,0.8822576138586197,0.6924480531013134,0.8343783993891603
GO:0006414,1,15,1193,15788,0.8822576138586197,0.6924480531013134,0.8343783993891603
GO:0016592,1,15,1193,15788,0.8822576138586197,0.6924480531013134,0.8343783993891603
GO:0000160,4,62,1193,15788,0.8537976908309224,0.6989348382503535,0.8399896691756071
GO:0016616,3,47,1193,15788,0.8447147366731466,0.6999913909796727,0.8399896691756071
GO:0000413,2,32,1193,15788,0.8271165129924559,0.707715313454302,0.8475109309267568
GO:0006096,3,48,1193,15788,0.827116512992456,0.7135966941089937,0.8478130689601779
GO:0016740,1,16,1193,15788,0.8271165129924559,0.715709922919999,0.8478130689601779
GO:0016307,1,16,1193,15788,0.8271165129924559,0.715709922919999,0.8478130689601779
GO:0016810,1,16,1193,15788,0.8271165129924559,0.715709922919999,0.8478130689601779
GO:0046488,1,16,1193,15788,0.8271165129924559,0.715709922919999,0.8478130689601779
GO:0004857,7,108,1193,15788,0.8577504579181026,0.7167079552034494,0.8478130689601779
