group,trait,n,rep,ST_r,MT_r,delta_r
protein_oxalate_full,Total_Oxalate,40,16,0.2099415101609828,0.20994151016098267,-1.3877787807814457e-16
protein_oxalate_full,Total_Oxalate,40,17,0.2261891030893276,0.22618910308932755,-5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,18,0.10651109012013407,0.10651109012013421,1.3877787807814457e-16
protein_oxalate_full,Total_Oxalate,40,19,0.21273683655030245,0.21273683655030245,0.0
protein_oxalate_full,Total_Oxalate,40,20,0.22222078879097718,0.22222078879097706,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,21,0.07983830809137062,0.07983830809137078,1.6653345369377348e-16
protein_oxalate_full,Total_Oxalate,40,22,0.3611549441183701,0.3611549441183702,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,23,0.2901817333191202,0.29018173331912034,1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,24,0.10185350426289297,0.10185350426289282,-1.5265566588595902e-16
protein_oxalate_full,Total_Oxalate,40,25,0.18311137846449527,0.18311137846449532,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,26,0.35734800083531015,0.35734800083531015,0.0
protein_oxalate_full,Total_Oxalate,40,27,0.17399403458328,0.1739940345832801,1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,28,0.2991908529586366,0.29919085295863657,-5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,29,0.17028712109660293,0.17028712109660304,1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,30,0.20366341893502626,0.20366341893502624,-2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,31,0.3223960891917821,0.322396089191782,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,32,0.2949400630324376,0.29494006303243747,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,33,0.16895238753086547,0.1689523875308654,-8.326672684688674e-17
protein_oxalate_full,Total_Oxalate,40,34,0.20518053565375796,0.20518053565375788,-8.326672684688674e-17
protein_oxalate_full,Total_Oxalate,40,35,0.17424512334479236,0.1742451233447923,-5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,36,0.17703631979380502,0.17703631979380516,1.3877787807814457e-16
protein_oxalate_full,Total_Oxalate,40,37,0.22004449904340898,0.220044499043409,2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,38,0.1363465108307394,0.1363465108307394,0.0
protein_oxalate_full,Total_Oxalate,40,39,0.2968462939286989,0.29684629392869877,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,40,0.1667122592238731,0.16671225922387323,1.3877787807814457e-16
protein_oxalate_full,Total_Oxalate,40,41,0.2121243171904536,0.21212431719045366,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,42,0.20968238734084838,0.20968238734084832,-5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,43,0.21225041894744334,0.21225041894744331,-2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,44,0.11256155252628598,0.11256155252628591,-6.938893903907228e-17
protein_oxalate_full,Total_Oxalate,40,45,0.25862160308115,0.2586216030811502,1.6653345369377348e-16
