cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Seed_Thickness,6.0235,0.2980094053522066,,0
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Mass_of_Seeds,0.21825,0.03352373434761789,0.2770841537800694,1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Seed_Coat_Tannin,981.0051777221724,126.24120321920364,-759.45186607247,-1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Tannin,828.3296958858734,168.0411572592731,-533.4174648958492,-1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Phenol,178.3416302295295,105.76852271838682,363.96538760029836,1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Flavonoid,129.14532571475328,32.35129090681927,185.92184125622111,1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Antioxidant,253.0986012861225,76.28208617847224,386.97366252934125,1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Seed_Length,8.439,0.37426827711165594,,0
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Seed_Width,7.1235,0.2664324469714425,,0
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Seed_Thickness,7.034000000000001,0.2979141446422505,,0
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Mass_of_Seeds,0.3248,0.03351301826055158,0.383615347047268,1
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,Seed_Coat_Tannin,1009.0768196981046,126.20084936986737,-787.5943290539874,-1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Tannin,493.782695093354,167.906505954707,-199.1067771428432,-1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Phenol,380.6151756523545,105.68377044817906,566.0901927889088,1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Flavonoid,118.361032203217,32.32536783180569,175.092052748036,1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Antioxidant,206.88021797231,76.22096137674818,340.648005188503,1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Seed_Length,8.817,0.37396837610768324,,0
