scenario,lambda,sample,contribution
balanced,0.11288378916846889,TSs68,9.172910941934528e-15
balanced,0.11288378916846889,TSs7,0.0
balanced,0.11288378916846889,TSs78,0.0
balanced,0.11288378916846889,TSs82,6.936801698396688e-16
balanced,0.11288378916846889,TSs9,1.3033621640256254e-15
balanced,0.11288378916846889,TSs95,0.0
balanced,0.11288378916846889,TSs96,8.26267748653357e-16
balanced,0.11288378916846889,TSs98,0.0
balanced,0.18329807108324356,TSs10,7.91324843490543e-16
balanced,0.18329807108324356,TSs104,1.816305583755189e-15
balanced,0.18329807108324356,TSs10A,0.0
balanced,0.18329807108324356,TSs11,8.266133043917353e-16
balanced,0.18329807108324356,TSs111,7.650813403565228e-16
balanced,0.18329807108324356,TSs116,3.5299208996400123e-16
balanced,0.18329807108324356,TSs119A,0.0
balanced,0.18329807108324356,TSs120,0.0
balanced,0.18329807108324356,TSs131,5.755719572937148e-17
balanced,0.18329807108324356,TSs132,0.0
balanced,0.18329807108324356,TSs133,0.0
balanced,0.18329807108324356,TSs136,0.0
balanced,0.18329807108324356,TSs138B,5.642913542565493e-16
balanced,0.18329807108324356,TSs15,4.595246594747687e-16
balanced,0.18329807108324356,TSs151B,9.417926717329345e-16
