PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,cluster,Tannin,Phenol,Flavonoid,Antioxidant
7.958375504928719,10.253564804181403,10.12349708995945,-21.8375449061971,7.010263856988517,2.240292781178986,-1.8155222913350255,-17.385136698626177,-5.296839139309182,5.759459021142206,TSs157A,1,329.972674531224,365.465608641324,87.0501306743437,282.680516222871
-1.7199616764873644,-1.1190678028151804,1.0439055983825958,-0.8451578535824155,-2.823157008835374,-5.1828718584827875,-3.725700527611988,2.3011619426302077,-1.0755988381574193,1.174524510957015,TSs27,1,998.261934315105,173.824776581272,141.948800400748,334.442308928021
-30.51415705068108,0.1757150687370254,3.6370927877668513,-1.5689328900259294,-1.4640385013643844,2.936305446107664,-0.6494308998487519,1.268707999944679,-0.9064681595326805,-3.9480680496596903,TSs363,0,522.529740487655,144.944952744426,78.598991363029,274.354203181557
0.857909874373953,16.477068515331048,7.39059040506855,-4.717489140417232,0.5679435545203525,-0.3917551201127689,-1.6934197932510922,5.58260593576318,-1.0082951733885601,-1.6260620172588838,TSs9,1,356.311068164509,456.124239349046,88.2927479525769,322.910399138709
-41.05425224501673,-2.8218025929875,0.5795387844794376,-2.353847897887257,3.192487145554686,-4.9585542076329014,-6.625010753712356,-3.1444189305642847,4.534623926781966,0.6578737501663305,TSs151B,0,,,,
-26.712471169988387,-1.4682454060540016,1.0772884665010543,-0.6920849923964436,-0.003878950022393629,1.8515435918999255,4.759923380090312,-0.10361961755002186,-1.7988371833006558,-2.6484522527161194,TSs133,0,350.181189808862,211.66843466716,124.482152977083,218.153587437576
-21.184547551196808,-13.38643735484121,13.736768588043097,6.08163459987847,-1.7230394275930925,-7.161395292348144,1.069499760755983,-1.8536617386438659,-5.487347938783034,-1.1190484932953497,TSs155,0,864.012320443296,142.67603038409,179.590054803224,247.751741701418
6.4702636447588535,-11.842497498301165,-1.7781620527881197,-1.4203467354711932,3.9010910778334775,3.3509462482909225,-9.49390850873113,0.3837230812193961,2.948545460582745,10.48762614246621,TSs209,1,148.461797672119,128.57200773084,33.3316633707094,157.342672795309
3.9968793619175766,9.734107029525024,4.96980347619594,-2.4755154181085275,1.0770051330941706,2.0911197407698165,-2.1046999690941104,-11.119505245127419,-4.232093962044724,8.507924812433094,TSs136,1,577.180904942822,94.4101787117432,98.7134838469485,126.26764368377
3.505341997819826,11.762373522167358,-11.93819374493238,18.95676877501329,8.315524584416847,-2.6384040650501204,0.8163357456340198,-1.7470785323228741,0.298047579796713,0.3156911406971554,TSs22A,1,367.109111440282,326.175808098876,173.770799494423,387.768804477413
